image_type,context_mode,context_label,transition_label_a,transition_label_b,edge_count,median_log10_param_distance,median_mid_naive_state,median_mid_expert_state,median_left_purity,median_right_purity
familiar,11,"ctx=(T,T)",FF -> FB,unresponsive -> FB,3414,3.7588883837288556,0.01897304609511045,-0.020880742352222974,0.5416666666666666,0.5416666666666666
familiar,11,"ctx=(T,T)",FF -> FB,FF -> FF,1059,3.7833482199584587,0.22409048075100874,-0.00039791074581445,0.3333333333333333,0.3333333333333333
familiar,11,"ctx=(T,T)",FB -> FB,FF -> FB,948,3.8052834084369875,0.00011913244612515002,-0.09053308458905662,0.3125,0.375
familiar,11,"ctx=(T,T)",FB -> FB,unresponsive -> FB,706,3.8166526544208725,-0.00746851368900385,-0.06993260561581695,0.375,0.2916666666666667
familiar,11,"ctx=(T,T)",unresponsive -> FB,unresponsive -> FF,628,3.742800138605852,0.0,-0.0007957741254940749,0.4583333333333333,0.3333333333333333
familiar,11,"ctx=(T,T)",FF -> FF,unresponsive -> FB,514,3.798873354747684,0.0296551567800343,-0.0003769423179328501,0.3333333333333333,0.2916666666666667
familiar,11,"ctx=(T,T)",FF -> FB,unresponsive -> FF,254,3.751124737260519,0.004725553860887875,-0.0010927301766350751,0.3333333333333333,0.3333333333333333
familiar,11,"ctx=(T,T)",FF -> FF,unresponsive -> FF,76,3.82841579276068,0.0180578472726047,0.0036134161027148,0.20833333333333334,0.16666666666666666
familiar,11,"ctx=(T,T)",FB -> FB,FF -> FF,28,3.7843096984327493,0.0033451332892291503,-0.02953349952492865,0.125,0.08333333333333333
familiar,11,"ctx=(T,T)",FB -> FB,unresponsive -> FF,22,3.891795665635125,-0.002897028623148775,-0.0300581071609631,0.1875,0.14583333333333331
novel,11,"ctx=(T,T)",FF -> FF,unresponsive -> FB,2032,3.785306167354123,0.02478774376213545,0.014857765971217301,0.4583333333333333,0.5
novel,11,"ctx=(T,T)",unresponsive -> FB,unresponsive -> FF,1612,3.6875052178963217,0.0,-0.000271942238323375,0.375,0.3333333333333333
novel,11,"ctx=(T,T)",FF -> FF,unresponsive -> FF,1585,3.705537272364909,0.03513373712450265,0.03842909681517625,0.4166666666666667,0.3333333333333333
novel,11,"ctx=(T,T)",FB -> FB,FF -> FF,854,3.820263774859286,0.003483110404573375,-0.00027868437860162495,0.3333333333333333,0.375
novel,11,"ctx=(T,T)",FB -> FB,unresponsive -> FB,829,3.7858620298596852,-0.0061780182905495,-0.02862083423044525,0.2916666666666667,0.375
novel,11,"ctx=(T,T)",FF -> FB,FF -> FF,616,3.754763136011724,0.02670380217721685,0.01146327328449115,0.2916666666666667,0.16666666666666666
novel,11,"ctx=(T,T)",FF -> FB,unresponsive -> FB,461,3.7529095100307095,0.00153805464878675,-0.01060670363157985,0.25,0.16666666666666666
novel,11,"ctx=(T,T)",FB -> FB,FF -> FB,236,3.8132191076253594,-0.002718917331658275,-0.019794065413530876,0.14583333333333331,0.125
novel,11,"ctx=(T,T)",FB -> FB,unresponsive -> FF,159,3.7255568379014705,-0.0071413681162521,-0.00514205127302555,0.20833333333333334,0.16666666666666666
novel,11,"ctx=(T,T)",FF -> FB,unresponsive -> FF,126,3.7909696237982544,0.0044362141904421,0.00013206365727817497,0.125,0.125
novel,11,"ctx=(T,T)",unresponsive -> FB,unresponsive -> unresponsive,90,4.069682450047906,0.0,-0.00858865599241105,0.08333333333333333,0.39583333333333337
novel,11,"ctx=(T,T)",FB -> FF,FF -> FF,79,3.763838582448641,0.00312412660662085,0.008620666535571201,0.375,0.041666666666666664
novel,11,"ctx=(T,T)",FB -> FF,unresponsive -> FB,60,3.789128882376424,-0.000679477982223,-0.000724464890081414,0.4166666666666667,0.041666666666666664
novel,11,"ctx=(T,T)",FF -> FF,unresponsive -> unresponsive,46,4.14104018600215,0.055549909885041396,0.051909265060443396,0.041666666666666664,0.39583333333333337
novel,11,"ctx=(T,T)",unresponsive -> FF,unresponsive -> unresponsive,33,4.113201522969892,0.0,0.0027662591533735,0.041666666666666664,0.125
novel,11,"ctx=(T,T)",FB -> FB,FB -> FF,31,3.7302649803251757,-0.0058677205946295495,-0.00410861079767345,0.125,0.041666666666666664
novel,11,"ctx=(T,T)",FB -> FF,unresponsive -> FF,29,3.7160266958684507,-0.0008434826675802,0.00288040234521025,0.16666666666666666,0.041666666666666664
novel,11,"ctx=(T,T)",FB -> FF,FF -> FB,21,3.7565969134081363,0.0005765988901257499,-6.763367727397806e-05,0.041666666666666664,0.041666666666666664
novel,11,"ctx=(T,T)",FF -> FB,unresponsive -> unresponsive,9,4.206480388542238,0.0125102973571047,-0.00105991513328625,0.0,0.041666666666666664
novel,11,"ctx=(T,T)",FB -> FB,unresponsive -> unresponsive,9,4.351623047683239,-0.01181496074236925,-0.00629352296516295,0.0,0.2916666666666667
novel,11,"ctx=(T,T)",FB -> FF,unresponsive -> unresponsive,4,3.8177414335840716,-0.0009427539072930501,0.005231391327455625,0.0,0.041666666666666664
familiar,10,"ctx=(T,F)",FF -> FB,unresponsive -> FB,3426,3.760911243948744,0.0210397693905979,-0.02099731307942415,0.5416666666666666,0.5416666666666666
familiar,10,"ctx=(T,F)",FF -> FB,FF -> FF,1011,3.7810503036605505,0.23422646549157797,-0.0005338859781623001,0.3333333333333333,0.3333333333333333
familiar,10,"ctx=(T,F)",FB -> FB,FF -> FB,901,3.8021113258145696,-0.0001281539052725,-0.0937799557521939,0.3333333333333333,0.375
familiar,10,"ctx=(T,F)",FB -> FB,unresponsive -> FB,683,3.818715851093509,-0.0085952410614118,-0.07362398754246526,0.375,0.2916666666666667
familiar,10,"ctx=(T,F)",unresponsive -> FB,unresponsive -> FF,681,3.7502491780781804,0.0,-0.00089014052599665,0.4166666666666667,0.3333333333333333
familiar,10,"ctx=(T,F)",FF -> FF,unresponsive -> FB,504,3.801721069648236,0.04285958898626265,-0.00047751541808247497,0.3333333333333333,0.3333333333333333
familiar,10,"ctx=(T,F)",FF -> FB,unresponsive -> FF,279,3.755649457335985,0.00461931066215035,-0.0011567683331668499,0.3333333333333333,0.3333333333333333
familiar,10,"ctx=(T,F)",FF -> FF,unresponsive -> FF,75,3.8204333420563144,0.01664804151840505,0.0030702345985919002,0.20833333333333334,0.16666666666666666
familiar,10,"ctx=(T,F)",FB -> FB,FF -> FF,26,3.7843096984327493,0.00210920211928895,-0.0305457805218175,0.125,0.08333333333333333
familiar,10,"ctx=(T,F)",FB -> FB,unresponsive -> FF,23,3.857215717949443,-0.0097031909674406,-0.0361264140307903,0.16666666666666666,0.08333333333333333
novel,10,"ctx=(T,F)",FF -> FF,unresponsive -> unresponsive,3773,3.783702969648172,0.0597225112020969,0.0565924966614693,0.5833333333333334,0.5833333333333334
novel,10,"ctx=(T,F)",FF -> unresponsive,unresponsive -> unresponsive,502,3.778231558117356,0.01335362074244765,0.0,0.041666666666666664,0.5833333333333334
novel,10,"ctx=(T,F)",FF -> FF,FF -> unresponsive,347,3.8064351071505844,0.10968524082819929,0.0794074493534863,0.125,0.25
novel,10,"ctx=(T,F)",FB -> unresponsive,unresponsive -> unresponsive,89,3.903223283590117,-0.0142400790117681,0.0,0.625,0.0
novel,10,"ctx=(T,F)",unresponsive -> FF,unresponsive -> unresponsive,55,3.590028939408673,0.0,0.0140819898470072,0.0,0.625
novel,10,"ctx=(T,F)",FB -> FB,unresponsive -> unresponsive,47,3.6753269746353334,-0.0027149841733044,-0.01563907166570425,0.5833333333333334,0.041666666666666664
novel,10,"ctx=(T,F)",FB -> FF,unresponsive -> unresponsive,26,3.9140659020359125,-0.0131207102164626,0.01315578319597985,0.8541666666666667,0.0
novel,10,"ctx=(T,F)",FF -> FF,unresponsive -> FF,15,3.5352861243307396,0.127981908172369,0.139718771408312,0.0,0.5
novel,10,"ctx=(T,F)",FB -> FB,FF -> FF,14,3.8866338860843,0.07378300549369307,0.0516091627292335,0.041666666666666664,0.39583333333333337
novel,10,"ctx=(T,F)",FB -> unresponsive,FF -> FF,13,3.9927102224863145,0.07419375385344029,0.0780798024125397,0.5,0.0
novel,10,"ctx=(T,F)",FB -> unresponsive,FF -> unresponsive,3,3.404967748725275,0.0020133335227147005,0.0,0.041666666666666664,0.0
novel,10,"ctx=(T,F)",FF -> unresponsive,unresponsive -> FF,2,3.9045832985248516,0.0131889687910443,0.014147157648054399,0.0,0.0
novel,10,"ctx=(T,F)",FB -> FF,FF -> FF,1,3.854988040692593,0.1422105269655585,0.09046446510124945,0.4166666666666667,0.0
novel,10,"ctx=(T,F)",FB -> FF,unresponsive -> FF,1,3.978205569644743,-0.0131207102164626,0.02736810864508145,0.0,0.0
novel,10,"ctx=(T,F)",FB -> FB,FB -> FF,1,3.9859370491730863,-0.015835694389767,-0.0024832884697244,0.041666666666666664,0.0
familiar,1,"ctx=(F,T)",FF -> unresponsive,unresponsive -> unresponsive,3346,3.773348331418876,0.0363854563590139,0.0,0.5416666666666666,0.5
familiar,1,"ctx=(F,T)",FF -> FF,FF -> unresponsive,1177,3.8047260397216816,0.2799095815569162,0.0209635862074792,0.25,0.2916666666666667
familiar,1,"ctx=(F,T)",FF -> FF,unresponsive -> unresponsive,988,3.8257822264898897,0.1732398947328329,0.0178165225200355,0.3333333333333333,0.5
familiar,1,"ctx=(F,T)",FB -> FB,unresponsive -> unresponsive,82,3.9306073423696253,-0.0020430623218417,-0.01368017625436185,0.7083333333333334,0.0
familiar,1,"ctx=(F,T)",FF -> FB,unresponsive -> unresponsive,43,3.755221251710702,0.0283364561125636,-0.01305406478792425,0.5416666666666666,0.0
familiar,1,"ctx=(F,T)",FF -> FB,FF -> unresponsive,34,3.7358067339139516,0.09190934308711438,-0.01305406478792425,0.375,0.0
familiar,1,"ctx=(F,T)",unresponsive -> FF,unresponsive -> unresponsive,24,3.781944792431535,0.0,0.00017582368850705,0.6458333333333333,0.0
familiar,1,"ctx=(F,T)",FB -> FB,FF -> unresponsive,18,3.8574962041925147,0.032510544539429274,-0.0140878921113908,0.041666666666666664,0.3333333333333333
familiar,1,"ctx=(F,T)",FF -> FB,FF -> FF,7,4.002237691713596,0.2142311177663505,0.01711888962518425,0.0,0.125
familiar,1,"ctx=(F,T)",FB -> FB,FF -> FF,6,3.5478794467523858,0.1553575098887086,0.0032534285839647004,0.0,0.16666666666666666
familiar,1,"ctx=(F,T)",FF -> FF,unresponsive -> FF,1,3.8353574821584275,0.01804054651036855,0.017564400553703247,0.0,0.125
novel,1,"ctx=(F,T)",FF -> FF,unresponsive -> FF,2797,3.7257004991974663,0.02455736991111185,0.0280356362778693,0.5,0.5
novel,1,"ctx=(F,T)",unresponsive -> FB,unresponsive -> FF,1756,3.7364079369495284,0.0,-0.00160644422320185,0.375,0.375
novel,1,"ctx=(F,T)",FF -> FF,unresponsive -> FB,1425,3.8174415047318555,0.02228567122574895,0.01176807689480485,0.4583333333333333,0.4583333333333333
novel,1,"ctx=(F,T)",FB -> FB,FF -> FF,901,3.8211647130752473,0.0013432291205972499,0.00027038739062845013,0.3333333333333333,0.4583333333333333
novel,1,"ctx=(F,T)",FB -> FB,unresponsive -> FB,584,3.797326657287477,-0.0100926964357495,-0.02662273333733895,0.25,0.2916666666666667
novel,1,"ctx=(F,T)",FB -> FB,unresponsive -> FF,273,3.7858620298596852,-0.0055860271193087,-0.00496151941083375,0.25,0.25
novel,1,"ctx=(F,T)",FF -> FB,FF -> FF,138,3.872976177494496,0.01380365464999335,0.0034870858164504238,0.4583333333333333,0.08333333333333333
novel,1,"ctx=(F,T)",FF -> FB,unresponsive -> FB,91,3.873492502247481,0.0041157851964235,-0.01920822601905085,0.25,0.08333333333333333
novel,1,"ctx=(F,T)",FB -> FB,FF -> FB,80,3.8207531038039884,-0.001668520786799475,-0.013285249820910375,0.20833333333333334,0.08333333333333333
novel,1,"ctx=(F,T)",FF -> FB,unresponsive -> FF,69,3.812374196827046,0.00504480940476055,-0.00029342740867285,0.2916666666666667,0.08333333333333333
novel,1,"ctx=(F,T)",FB -> FF,FF -> FF,62,3.666385824305487,0.002296896755695325,0.003639423234388175,0.041666666666666664,0.4166666666666667
novel,1,"ctx=(F,T)",FB -> FF,unresponsive -> FF,40,3.625455797445153,-0.0001904567002784,0.00184456994850185,0.08333333333333333,0.0625
novel,1,"ctx=(F,T)",unresponsive -> FB,unresponsive -> unresponsive,24,4.166372188191572,0.0,-0.0179490897648502,0.125,0.125
novel,1,"ctx=(F,T)",FB -> FF,unresponsive -> FB,23,3.7447643593842765,-0.0002337709087878,-0.0027664591465145,0.041666666666666664,0.25
novel,1,"ctx=(F,T)",unresponsive -> FF,unresponsive -> unresponsive,16,4.379817398550498,0.0,0.00154354099277405,0.041666666666666664,0.2916666666666667
novel,1,"ctx=(F,T)",FB -> FB,FB -> FF,15,3.8327798261859143,-0.01206160812266165,-0.015434121493250099,0.041666666666666664,0.20833333333333334
novel,1,"ctx=(F,T)",FF -> FF,unresponsive -> unresponsive,5,4.223833172626925,0.04560123736597595,0.0463816261263564,0.041666666666666664,0.5833333333333334
novel,1,"ctx=(F,T)",FB -> FF,FF -> FB,3,3.7565969134081363,0.00420141481421885,-0.00139822091534735,0.0,0.041666666666666664
novel,1,"ctx=(F,T)",FB -> FB,unresponsive -> unresponsive,1,4.671376744705135,-0.01181467522680755,-0.0114570233672857,0.16666666666666666,0.041666666666666664
familiar,0,"ctx=(F,F)",FF -> unresponsive,unresponsive -> unresponsive,3425,3.7707739811686363,0.0378402417562902,0.0,0.5416666666666666,0.5416666666666666
familiar,0,"ctx=(F,F)",FF -> FF,FF -> unresponsive,1120,3.7984369620920804,0.28939048891863783,0.0214872491927817,0.2916666666666667,0.2916666666666667
familiar,0,"ctx=(F,F)",FF -> FF,unresponsive -> unresponsive,818,3.8386913513389445,0.19803935419023036,0.0189013577569276,0.2916666666666667,0.5
novel,0,"ctx=(F,F)",FF -> FF,unresponsive -> unresponsive,4016,3.7805220356466442,0.05640776077657935,0.05385969530418515,0.5833333333333334,0.625
novel,0,"ctx=(F,F)",FF -> unresponsive,unresponsive -> unresponsive,280,3.8327132650861966,0.01411595858633515,0.0,0.5833333333333334,0.041666666666666664
novel,0,"ctx=(F,F)",FF -> FF,FF -> unresponsive,163,3.8043744046869064,0.1031302567757666,0.0860015538148582,0.4583333333333333,0.0
novel,0,"ctx=(F,F)",unresponsive -> FF,unresponsive -> unresponsive,24,3.6041053364941558,0.0,0.0126857442022301,0.7291666666666667,0.0
novel,0,"ctx=(F,F)",FF -> FF,unresponsive -> FF,14,3.7020284797670113,0.0693993223644793,0.0817978795827366,0.5,0.0
